user_id,phone_number,full_name,created_at,kyc_status,risk_score,is_fraud
57,001-352-361-1868x10626,Sharon Davis,2024-11-12 21:52:47.722821,VERIFIED,0.15,0.0
58,399-450-5334x5231,Julie Moore,2024-01-07 21:52:47.722821,VERIFIED,0.08,0.0
59,001-382-620-9935x36658,Dennis Lutz,2025-08-25 21:52:47.722821,VERIFIED,0.11,0.0
60,(321)254-4868,Tara Nicholson,2025-10-16 21:52:47.722821,VERIFIED,0.14,0.0
61,(815)667-9134x746,Crystal Smith,2023-04-29 21:52:47.724133,VERIFIED,0.26,0.0
62,+1-209-410-2485x1661,Jocelyn Malone,2025-05-23 21:52:47.724133,VERIFIED,0.14,0.0
63,423-480-3782x277,Brian Edwards,2023-09-04 21:52:47.724133,VERIFIED,0.11,0.0
64,258.730.9565x752,Jacob Stokes,2025-11-16 21:52:47.724133,VERIFIED,0.16,0.0
65,822.255.9094,Sandra Rodriguez,2025-02-18 21:52:47.725132,VERIFIED,0.14,0.0
66,291.420.9961x8908,Cody Fletcher,2023-08-29 21:52:47.725132,VERIFIED,0.22,0.0
67,(732)346-6769x0752,Albert Warren,2024-10-30 21:52:47.725132,VERIFIED,0.24,0.0
68,450-915-7661x83015,John Ortega,2023-11-18 21:52:47.725132,VERIFIED,0.03,0.0
69,888.419.3943x6367,Bryan Schneider,2024-06-20 21:52:47.726134,VERIFIED,0.22,0.0
70,9647727479,Shane Wyatt,2024-08-26 21:52:47.726134,VERIFIED,0.09,0.0
71,001-844-270-6025x6355,Alicia Roberts,2024-06-16 21:52:47.726134,VERIFIED,0.05,0.0
72,(985)764-5058x6844,Danny Mcdaniel,2023-08-30 21:52:47.727134,VERIFIED,0.2,0.0
73,899-518-4174,Janet Guzman,2025-09-13 21:52:47.727134,VERIFIED,0.19,0.0
74,(990)761-9531,Lisa Flores,2023-09-24 21:52:47.727134,VERIFIED,0.17,0.0
75,5317005067,Brandi Adams,2023-05-16 21:52:47.727134,VERIFIED,0.26,0.0
76,653.648.1994,Denise Smith,2024-07-11 21:52:47.728421,VERIFIED,0.1,0.0
77,927-263-1453,Dr. Scott Wright,2023-05-05 21:52:47.728421,VERIFIED,0.26,0.0
78,001-457-216-6726x3108,Austin Walton,2023-11-23 21:52:47.729439,VERIFIED,0.27,0.0
79,001-484-887-5573,Angela Wilkerson,2025-12-30 21:52:47.729439,VERIFIED,0.17,0.0
80,(387)592-1824x86752,Carlos Oconnor,2024-12-04 21:52:47.729439,VERIFIED,0.1,0.0
81,292-484-1868x0238,Amber Miller,2025-02-27 21:52:47.729439,VERIFIED,0.14,0.0
82,(778)555-1295,Travis Brown,2024-04-07 21:52:47.730441,VERIFIED,0.24,0.0
83,867.422.3570,Donna Brown,2023-06-19 21:52:47.730441,VERIFIED,0.39,1.0
84,001-721-860-0884x03224,Timothy Klein,2024-10-07 21:52:47.730441,VERIFIED,0.11,0.0
85,(828)715-7665x20564,Joseph Cooke,2024-01-17 21:52:47.731436,PENDING,0.17,0.0
86,7786263392,Madison Cruz,2024-03-12 21:52:47.731947,PENDING,0.13,0.0
87,771.624.2765x07043,Ryan Jackson,2025-04-08 21:52:47.732462,VERIFIED,0.02,0.0
88,575-764-8173,Christopher Nichols,2025-01-23 21:52:47.732462,VERIFIED,0.27,0.0
89,(284)762-1789x7540,Kaitlyn Rodriguez,2025-10-13 21:52:47.733666,VERIFIED,0.07,0.0
90,890-628-0504x59560,Nicholas Singleton,2025-05-25 21:52:47.733666,VERIFIED,0.05,0.0
91,(496)817-1246x19561,Michael Reynolds,2023-08-17 21:52:47.733666,VERIFIED,0.29,0.0
92,+1-340-396-9284x470,Ian Reid,2023-11-27 21:52:47.735055,VERIFIED,0.16,0.0
93,951-795-5544,Madison Powers,2025-04-24 21:52:47.735055,VERIFIED,0.22,0.0
94,4645538442,Becky Roberts,2023-05-13 21:52:47.735055,VERIFIED,0.25,0.0
95,001-715-238-4191x814,John Sharp,2024-03-23 21:52:47.736298,PENDING,0.02,0.0
96,603-899-1508x354,Joseph Madden,2025-05-09 21:52:47.736298,VERIFIED,0.23,0.0
97,001-975-631-8840x411,James Clark,2025-05-09 21:52:47.736298,VERIFIED,0.07,0.0
98,+1-926-958-5370,Michael Fletcher,2025-06-13 21:52:47.737357,PENDING,0.2,0.0
99,(997)958-2808x166,Zachary Martin,2023-12-02 21:52:47.737357,VERIFIED,0.01,0.0
100,5872525888,Brenda Barnes,2024-10-30 21:52:47.738373,PENDING,0.08,0.0
101,(561)457-4751x57120,Rachel Knight,2024-12-13 21:52:47.738373,PENDING,0.27,0.0
102,+1-988-487-2236x964,Brandon Zimmerman,2025-07-29 21:52:47.738373,VERIFIED,0.21,0.0
103,(358)781-5274x407,David Benson,2024-04-18 21:52:47.739386,VERIFIED,0.07,0.0
104,914-920-4232x6238,Heather Guzman,2024-08-21 21:52:47.739386,VERIFIED,0.25,1.0
105,(484)488-3850x51836,Mr. Craig Caldwell,2025-06-07 21:52:47.740398,VERIFIED,0.21,0.0
106,(972)657-3161x7181,Curtis Jimenez,2023-09-03 21:52:47.740398,VERIFIED,0.18,0.0
107,838-363-9124x9242,Samantha Miller,2025-05-15 21:52:47.740398,VERIFIED,0.01,0.0
108,832-334-7438x054,Thomas Ellis,2025-10-19 21:52:47.741680,VERIFIED,0.18,0.0
109,+1-233-663-1993x3275,Julie Contreras,2025-01-11 21:52:47.741680,VERIFIED,0.25,0.0
110,864.541.1005x055,Jessica Brown,2025-05-20 21:52:47.742683,VERIFIED,0.01,0.0
111,+1-251-996-6964x292,Paula Hernandez,2024-07-05 21:52:47.742683,VERIFIED,0.07,0.0
112,918.332.3434,Regina Robinson,2023-08-30 21:52:47.742683,VERIFIED,0.27,0.0
113,001-492-344-3491x99082,John Schneider,2025-03-10 21:52:47.744108,VERIFIED,0.25,0.0
114,(235)270-5228,Zachary Rose,2024-04-13 21:52:47.744108,VERIFIED,0.21,0.0
115,+1-996-390-8358x235,Jessica Wright,2024-11-06 21:52:47.744617,PENDING,0.14,0.0
116,(932)846-7266,Yolanda Cooper,2025-07-26 21:52:47.744617,PENDING,0.2,0.0
117,+1-670-432-3144,Jason Yang,2024-08-01 21:52:47.744617,VERIFIED,0.04,0.0
118,(410)898-2424,Blake Snow,2025-03-03 21:52:47.745631,VERIFIED,0.2,0.0
119,+1-495-439-2770x89934,James Johnson,2025-11-20 21:52:47.745631,VERIFIED,0.16,0.0
120,986.595.8439x104,Rodney Green,2023-09-11 21:52:47.745631,VERIFIED,0.01,0.0
121,+1-652-772-7567x10642,Jessica Buckley,2025-04-05 21:52:47.745631,VERIFIED,0.25,0.0
122,+1-984-919-9176x852,Patrick Perkins,2023-12-07 21:52:47.745631,VERIFIED,0.05,0.0
123,001-471-323-3911x15896,Bethany Thompson,2024-02-07 21:52:47.747144,PENDING,0.08,0.0
124,001-206-252-1327x624,Brian Arnold,2025-10-17 21:52:47.748331,VERIFIED,0.03,0.0
125,778.231.4724,Manuel Miranda,2024-01-22 21:52:47.748331,VERIFIED,0.23,0.0
126,484-521-0808x07196,Michelle Smith,2023-04-26 21:52:47.748331,VERIFIED,0.28,0.0
127,001-288-456-7670x696,Madeline Allen,2025-11-19 21:52:47.749359,VERIFIED,0.1,0.0
128,+1-916-471-1995x2483,Christopher Johnson,2025-12-14 21:52:47.749359,VERIFIED,0.0,0.0
129,380-239-3866x13739,Kenneth Hill,2025-01-24 21:52:47.750345,VERIFIED,0.04,0.0
130,254.501.2365x871,Lisa Hays,2023-05-28 21:52:47.750345,VERIFIED,0.13,0.0
131,(720)294-8452x12546,Shelly Palmer,2025-05-15 21:52:47.751346,PENDING,0.01,0.0
132,580-663-2310x9337,Tracy Brown,2023-10-23 21:52:47.751346,VERIFIED,0.28,0.0
133,001-447-472-1991x66483,Sonya Hanson,2025-06-30 21:52:47.751346,VERIFIED,0.05,0.0
134,5404325573,Jorge Moore,2024-07-31 21:52:47.752511,VERIFIED,0.18,0.0
135,234-521-5911x829,Stephanie Knapp,2025-06-19 21:52:47.752511,VERIFIED,0.03,0.0
136,001-288-692-0871x1667,Christy Johnson,2025-06-12 21:52:47.753512,VERIFIED,0.14,0.0
137,356-487-4791x53855,Michael Stewart,2023-04-21 21:52:47.754023,PENDING,0.07,0.0
138,(897)729-2729x31518,Mitchell Rich,2024-07-17 21:52:47.754023,VERIFIED,0.05,0.0
139,519-854-1944,Anna Mcguire,2024-06-21 21:52:47.755037,VERIFIED,0.11,0.0
140,(630)906-3241x20526,Chad Tran,2023-10-27 21:52:47.755037,VERIFIED,0.04,0.0
141,(823)910-4909,Heidi Perez,2024-06-14 21:52:47.756056,VERIFIED,0.19,0.0
142,(481)403-8609,William Smith,2024-05-24 21:52:47.756056,VERIFIED,0.17,0.0
143,770-972-0043x6956,Sheila Thomas,2025-11-10 21:52:47.757035,VERIFIED,0.1,0.0
144,887.383.0742,Donald Acosta,2025-06-19 21:52:47.757035,VERIFIED,0.2,0.0
145,+1-275-499-1772,Angela Holmes,2024-03-17 21:52:47.758262,VERIFIED,0.11,0.0
146,+1-575-428-5487x0156,Jennifer Orozco,2024-04-02 21:52:47.758262,VERIFIED,0.15,0.0
147,001-522-960-0027x6569,Dawn Hall,2024-09-25 21:52:47.759371,VERIFIED,0.15,0.0
148,354.571.9773x531,Steven Foley,2024-01-18 21:52:47.759371,VERIFIED,0.14,0.0
149,+1-981-937-8703x25405,Alexis Thomas,2023-05-12 21:52:47.760371,VERIFIED,0.23,0.0
150,206.964.5518x0191,Veronica Washington,2024-10-22 21:52:47.760371,VERIFIED,0.25,0.0
151,(815)722-4103x711,Natasha Moore,2023-06-22 21:52:47.760371,VERIFIED,0.28,0.0
152,(255)561-5749x711,Anthony Blankenship,2025-12-18 21:52:47.760371,VERIFIED,0.12,0.0
153,613-203-4524x7315,Craig Ortiz,2023-08-29 21:52:47.761872,VERIFIED,0.06,0.0
154,407.901.8396,Tina Sharp,2025-06-19 21:52:47.762381,VERIFIED,0.24,0.0
155,001-524-924-3909x3862,Christina Nichols,2023-05-15 21:52:47.762381,VERIFIED,0.11,0.0
156,001-563-296-8609,Stephanie Shepherd,2024-11-07 21:52:47.762381,VERIFIED,0.26,0.0
157,370.625.6531x11638,James Ray,2023-06-16 21:52:47.762381,VERIFIED,0.05,0.0
158,001-303-886-3985,Amber Jones,2023-06-27 21:52:47.763864,VERIFIED,0.21,0.0
159,691.916.6179,Michael Mccarthy,2025-11-24 21:52:47.764375,VERIFIED,0.24,0.0
160,(691)462-4450x8297,Jesus Weiss,2025-03-06 21:52:47.764375,VERIFIED,0.08,0.0
161,420.673.2012x766,Mrs. Gail Miller,2025-04-21 21:52:47.765391,VERIFIED,0.23,0.0
162,280-909-0469x29015,Krista Davis,2023-11-24 21:52:47.765391,PENDING,0.01,0.0
163,382.459.6349x8504,Christine Conrad,2023-09-27 21:52:47.765391,VERIFIED,0.18,0.0
164,824.256.3771x590,Catherine Davis,2025-05-15 21:52:47.765391,VERIFIED,0.01,0.0
165,+1-623-361-3947,Jennifer Morgan,2025-05-14 21:52:47.766928,VERIFIED,0.21,0.0
166,(212)797-1889x96247,Ian Joseph,2023-07-22 21:52:47.766928,VERIFIED,0.11,0.0
167,001-252-660-9992x0752,Peter Macias,2024-01-08 21:52:47.766928,VERIFIED,0.19,0.0
168,302-591-8330,Corey Chavez,2025-08-31 21:52:47.767945,VERIFIED,0.12,0.0
169,6634915378,Julie Jones,2024-03-28 21:52:47.767945,VERIFIED,0.24,0.0
170,(310)376-2113x2259,Terry Shaw,2023-08-01 21:52:47.768977,VERIFIED,0.25,0.0
171,931.574.9210x4590,Philip Miller,2025-01-12 21:52:47.768977,VERIFIED,0.18,0.0
172,001-661-444-8045x04441,Logan Kerr,2025-12-15 21:52:47.768977,VERIFIED,0.25,0.0
173,4644644744,Nicole Brown,2023-10-08 21:52:47.770008,PENDING,0.17,0.0
174,(562)387-5999x975,Curtis Evans,2026-01-10 21:52:47.770008,VERIFIED,0.3,0.0
175,874.229.5876x2791,Lee Bennett,2025-03-06 21:52:47.771083,VERIFIED,0.07,0.0
176,+1-482-810-6867x2497,Maria Osborn,2023-06-28 21:52:47.771083,VERIFIED,0.26,0.0
177,+1-355-996-4944,Elizabeth Ramirez,2024-07-04 21:52:47.771083,VERIFIED,0.34,1.0
178,3417739276,Larry Rhodes,2023-09-01 21:52:47.772160,VERIFIED,0.17,0.0
179,(921)597-3738x45507,Chad Clayton,2023-06-06 21:52:47.772160,PENDING,0.13,0.0
180,(627)886-6681x509,Edwin Smith,2024-02-10 21:52:47.772160,VERIFIED,0.1,0.0
181,493.984.5326,Emma Joyce,2025-04-01 21:52:47.773205,VERIFIED,0.29,0.0
182,497-658-4352x952,William Cox,2025-04-20 21:52:47.773205,VERIFIED,0.23,0.0
183,605.656.3296x752,Deborah Fry,2023-07-30 21:52:47.774716,VERIFIED,0.15,0.0
184,+1-396-658-0392x6375,Heather Henderson,2024-10-20 21:52:47.774716,VERIFIED,0.02,0.0
185,(446)660-3216x000,William Hoover,2023-08-29 21:52:47.774716,VERIFIED,0.16,0.0
186,7306549560,Brent Robinson,2023-11-14 21:52:47.775815,VERIFIED,0.12,0.0
187,865.372.4728x9093,Tyler Wright,2024-09-27 21:52:47.775815,PENDING,0.06,0.0
188,001-753-490-2572x445,Aaron Wheeler,2025-01-20 21:52:47.775815,VERIFIED,0.12,0.0
189,2377836664,Dana Johnson,2025-02-02 21:52:47.776833,VERIFIED,0.01,0.0
190,+1-907-910-6426x18534,Brandon Foster,2023-06-08 21:52:47.777351,VERIFIED,0.03,0.0
191,855-465-7968x3333,Scott Thomas,2024-05-15 21:52:47.777351,VERIFIED,0.06,0.0
192,(416)996-8870,Brooke Dean,2024-12-02 21:52:47.779383,VERIFIED,0.04,0.0
193,565-887-9179,John Odom,2026-01-11 21:52:47.779383,VERIFIED,0.04,0.0
194,+1-497-804-7872x738,Jennifer Kelly,2025-07-30 21:52:47.779383,PENDING,0.13,0.0
195,(773)876-1180x72365,Ebony Gamble,2024-06-17 21:52:47.780385,VERIFIED,0.11,0.0
196,3696463851,Cynthia Acevedo,2024-02-22 21:52:47.780385,VERIFIED,0.06,0.0
197,370-917-2545x328,Mark Long,2024-05-27 21:52:47.781382,VERIFIED,0.28,0.0
198,(407)358-9034x68113,Daniel Perry,2025-05-20 21:52:47.781382,VERIFIED,0.3,0.0
199,001-723-853-0925x3173,Jacqueline Dunn,2025-06-04 21:52:47.781382,VERIFIED,0.23,0.0
200,+1-966-968-4289x71560,Anthony Fox,2023-12-17 21:52:47.782382,VERIFIED,0.09,0.0
201,+1-329-795-3122x774,Hailey Chang,2024-03-17 21:52:47.782382,VERIFIED,0.25,0.0
202,980.668.4460x34156,Katie Powell,2023-09-13 21:52:47.782382,VERIFIED,0.05,0.0
203,+1-985-373-9163x8376,Karen Gibbs,2025-05-11 21:52:47.783382,VERIFIED,0.2,0.0
204,001-980-522-5655x6772,Stephanie Warren,2023-07-25 21:52:47.783382,VERIFIED,0.18,0.0
205,4525090516,Connie Casey,2025-01-20 21:52:47.783382,VERIFIED,0.13,0.0
206,649.882.7961x856,Rachel Gonzalez,2025-12-22 21:52:47.783382,VERIFIED,0.27,0.0
207,674-857-6427x64843,Susan Lowe,2024-09-26 21:52:47.784382,VERIFIED,0.08,0.0
208,284-906-8927x992,Justin Murphy,2025-06-20 21:52:47.784382,VERIFIED,0.0,0.0
209,634-911-6984x1328,Mark Walker,2024-03-02 21:52:47.784382,VERIFIED,0.1,0.0
210,001-248-268-7399x31455,Victoria Melton,2025-03-16 21:52:47.784382,PENDING,0.13,0.0
211,001-507-488-9533,Andrea Lowe,2025-04-18 21:52:47.784382,VERIFIED,0.19,0.0
212,(763)650-8728,Rachel Pollard,2024-04-04 21:52:47.785381,VERIFIED,0.3,0.0
213,215-222-3866,Michelle Ward,2025-08-22 21:52:47.785381,VERIFIED,0.18,0.0
214,+1-319-532-4428,Allison Simon,2023-06-07 21:52:47.785887,VERIFIED,0.18,0.0
215,571-485-5790,Mrs. Tina Moore,2025-09-09 21:52:47.785887,VERIFIED,0.07,0.0
216,(433)583-9878x042,Victoria Smith,2025-03-15 21:52:47.785887,VERIFIED,0.26,0.0
217,693.812.2228,Roger Joseph,2025-07-23 21:52:47.786895,VERIFIED,0.19,0.0
218,262.950.6768x66633,Paige Huang,2025-03-03 21:52:47.786895,VERIFIED,0.18,0.0
219,(852)288-3197x117,Nicholas Gibbs,2023-12-31 21:52:47.786895,VERIFIED,0.02,0.0
220,(670)463-8935x467,Raven Noble,2023-05-29 21:52:47.786895,VERIFIED,0.26,0.0
221,5495954776,Robert Kennedy,2025-05-10 21:52:47.786895,VERIFIED,0.26,0.0
222,001-961-772-6909,Emily Blackwell,2025-12-07 21:52:47.787905,PENDING,0.2,0.0
223,(985)835-9667x63654,Kristine Sandoval,2025-10-07 21:52:47.787905,VERIFIED,0.13,0.0
224,(708)381-3448x6578,Marvin Dominguez,2023-10-10 21:52:47.787905,VERIFIED,0.04,0.0
225,203.307.8779,Nancy Duncan,2024-06-18 21:52:47.788913,VERIFIED,0.29,0.0
226,446.502.2251,Kathleen Brown,2024-08-11 21:52:47.788913,VERIFIED,0.27,0.0
227,753.891.9543,Brenda Strong,2024-05-18 21:52:47.788913,PENDING,0.26,0.0
228,001-231-448-4699x617,Brian Carter,2024-05-31 21:52:47.788913,VERIFIED,0.09,0.0
229,285.498.4401,Antonio Jones,2025-02-07 21:52:47.789920,PENDING,0.03,0.0
230,+1-523-461-4235x4405,Diana Gonzales,2025-11-29 21:52:47.789920,VERIFIED,0.17,0.0
231,(917)770-7805,Sherri Hopkins,2023-12-11 21:52:47.789920,VERIFIED,0.3,0.0
232,806.887.8380,Christopher Myers,2025-09-26 21:52:47.790918,VERIFIED,0.01,0.0
233,001-333-564-5082x2121,Donald White,2025-10-20 21:52:47.790918,VERIFIED,0.06,0.0
234,3534538047,Lisa Beltran,2024-04-19 21:52:47.791918,VERIFIED,0.1,0.0
235,700-262-9673x7091,John Brown,2024-01-21 21:52:47.791918,VERIFIED,0.1,0.0
236,654.477.1522,Joshua Anderson,2023-10-29 21:52:47.792918,VERIFIED,0.23,0.0
237,5115594431,Adam Thomas,2025-05-25 21:52:47.792918,VERIFIED,0.04,0.0
238,4809642379,Vincent Stewart,2024-09-27 21:52:47.793918,VERIFIED,0.22,0.0
239,949.838.7631,Tiffany Taylor,2025-04-08 21:52:47.793918,VERIFIED,0.22,0.0
240,239.462.5219x307,Kimberly Alvarado,2025-03-20 21:52:47.794923,VERIFIED,0.23,0.0
241,2563432693,Harry Fields,2024-11-17 21:52:47.794923,VERIFIED,0.19,0.0
242,3312879017,Kevin Lewis,2023-10-19 21:52:47.794923,VERIFIED,0.22,0.0
243,001-385-394-3060x107,Gregory Parker,2023-05-06 21:52:47.796061,VERIFIED,0.17,0.0
244,290-954-2714,Amy Stafford,2024-08-16 21:52:47.796061,VERIFIED,0.16,0.0
245,(678)668-2767,Christy Sanders,2024-07-23 21:52:47.797077,PENDING,0.13,0.0
246,276.293.1927,Mark Taylor,2024-01-19 21:52:47.797077,VERIFIED,0.13,0.0
247,(571)645-7369,Amanda Cole DVM,2024-12-05 21:52:47.797077,VERIFIED,0.16,0.0
248,403-665-0726,Jessica Allen,2024-09-16 21:52:47.798539,VERIFIED,0.23,0.0
249,(954)561-1697,Patrick Waters,2024-03-23 21:52:47.799557,VERIFIED,0.17,0.0
250,622-588-5691x19100,Aaron Tucker,2024-04-30 21:52:47.799557,VERIFIED,0.2,0.0
251,+1-499-819-3469x456,Scott Phillips,2023-08-14 21:52:47.799557,VERIFIED,0.13,0.0
252,896.259.9489x961,Kristen Anderson,2024-10-13 21:52:47.799557,PENDING,0.29,0.0
253,461.690.0065,Ann Boyer,2023-08-22 21:52:47.800995,VERIFIED,0.19,0.0
254,647-200-5197x8453,Ronnie Hill,2023-08-16 21:52:47.800995,VERIFIED,0.03,0.0
255,2608098306,Sherry Williams,2024-08-16 21:52:47.800995,VERIFIED,0.05,0.0
256,3642092198,Erin Johnson,2025-07-29 21:52:47.802229,VERIFIED,0.25,0.0
257,(555)776-1918x88225,Amanda Lam,2023-08-06 21:52:47.802229,VERIFIED,0.07,0.0
258,(391)786-8254x7207,Kimberly Johnson,2025-10-19 21:52:47.803366,VERIFIED,0.06,0.0
259,(450)708-9438x054,Robin Sanchez,2023-12-24 21:52:47.803366,VERIFIED,0.28,0.0
260,926-330-3583,Denise Kirk,2025-05-16 21:52:47.804368,VERIFIED,0.05,0.0
261,(902)556-6380,Daniel Wagner,2025-04-13 21:52:47.804368,VERIFIED,0.15,0.0
262,4429416782,Lisa Grimes,2025-09-06 21:52:47.804368,PENDING,0.18,0.0
263,(462)643-6330x6731,Michael Buchanan,2025-10-27 21:52:47.805500,VERIFIED,0.03,0.0
264,442-447-8599x95843,Kayla Cochran,2024-02-26 21:52:47.805500,VERIFIED,0.23,0.0
265,(743)342-9327x4261,Brooke Allen,2023-11-12 21:52:47.805500,VERIFIED,0.25,0.0
266,001-604-205-9281,Ian Lawrence,2025-03-22 21:52:47.807039,VERIFIED,0.06,0.0
267,+1-420-364-6837,Tammy Hudson,2023-12-05 21:52:47.807039,VERIFIED,0.22,0.0
268,(865)813-9360,Elizabeth Martinez,2025-07-18 21:52:47.807039,VERIFIED,0.08,0.0
269,001-228-730-6229x67473,Daniel Conley DDS,2025-06-25 21:52:47.807039,VERIFIED,0.17,0.0
270,001-383-278-8203x47626,Katherine Rice,2024-07-15 21:52:47.808650,PENDING,0.21,0.0
271,364-265-5292,Crystal Williamson,2024-05-29 21:52:47.809162,VERIFIED,0.27,0.0
272,2689285672,Destiny Schmidt,2025-09-08 21:52:47.809162,VERIFIED,0.15,0.0
273,001-423-578-1278x523,Mary Grant,2024-06-30 21:52:47.810179,VERIFIED,0.11,0.0
274,+1-956-211-1506x0362,Paul Ramos,2023-05-22 21:52:47.810179,VERIFIED,0.21,0.0
275,+1-670-257-7976x890,Ashley Moore,2026-01-10 21:52:47.811224,VERIFIED,0.12,0.0
